rank,nome,nota media
199,Cyclades,7.52
200,The Search for Planet X,8.15
301,Ghost Stories,7.31
302,Bärenpark,7.35
303,Mission: Red Planet (Second Edition),7.44
304,Takenoko,7.26
305,The Red Cathedral,7.88
306,Star Wars: Armada,7.83
307,Agricola: All Creatures Big and Small,7.37
308,Bunny Kingdom,7.46
309,Paleo,7.85
310,Camel Up (Second Edition),7.64
311,Altiplano,7.51
312,Harry Potter: Hogwarts Battle,7.43
313,Evolution: Climate,7.58
314,Here I Stand,7.91
315,Hallertau,8.07
316,Monikers,7.80
317,For Sale,7.23
318,Unmatched: Cobble & Fog,8.23
319,Star Realms: Frontiers,7.99
320,51st State: Master Set,7.64
321,Awkward Guests,7.69
322,San Juan,7.25
323,Die Macher,7.61
324,Notre Dame,7.33
325,At the Gates of Loyang,7.38
326,The Pillars of the Earth,7.28
327,Lost Cities,7.19
328,Terraforming Mars: Ares Expedition,7.73
329,Nusfjord,7.65
330,Endeavor,7.39
331,Gùgōng,7.50
332,Blood Bowl: Team Manager – The Card Game,7.38
333,Gizmos,7.43
334,Tekhenu: Obelisk of the Sun,7.86
335,In the Year of the Dragon,7.33
336,Saint Petersburg,7.29
337,Mythic Battles: Pantheon,8.42
338,Sword & Sorcery,7.99
339,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,7.70
340,Bruxelles 1893,7.63
341,Ticket to Ride: Märklin,7.41
342,Innovation,7.27
343,Azul: Stained Glass of Sintra,7.38
344,Tiny Towns,7.32
345,Clash of Cultures,7.61
346,King of Tokyo,7.17
347,Carpe Diem,7.56
348,Nippon,7.68
349,Claustrophobia,7.50
350,Dice Throne: Season Two – Battle Chest,8.15
351,Pandemic: Fall of Rome,7.69
352,London (Second Edition),7.58
353,Newton,7.60
354,Dune,7.61
355,Space Hulk (Third Edition),7.53
356,Advanced Squad Leader,8.00
357,The Godfather: Corleone's Empire,7.55
358,Civilization,7.50
359,Codenames: Pictures,7.24
360,San Juan (Second Edition),7.49
361,Abyss,7.33
362,Maria,7.98
363,Ginkgopolis,7.50
364,Stockpile,7.52
365,Mice and Mystics,7.28
366,Aeon's End: The New Age,8.66
367,Ankh: Gods of Egypt,7.96
368,Dice Forge,7.27
369,Bonfire,7.83
370,The Great Zimbabwe,7.80
371,Arkham Horror,7.25
372,Twice as Clever!,7.49
373,Fresco,7.27
374,The Manhattan Project,7.35
375,Macao,7.42
376,Downforce,7.34
377,Chinatown,7.36
378,Charterstone,7.32
379,Santa Maria,7.52
380,Firefly: The Game,7.39
381,Thunderstone Quest,7.86
382,Millennium Blades,7.72
383,Flash Point: Fire Rescue,7.19
384,Spartacus: A Game of Blood and Treachery,7.47
385,Point Salad,7.27
386,A Few Acres of Snow,7.39
387,Blood Bowl: Living Rulebook,7.85
388,Biblios,7.20
389,Lancaster,7.41
390,Kingsburg,7.19
391,Glen More,7.31
392,Quadropolis,7.26
393,Heroscape Master Set: Rise of the Valkyrie,7.43
394,Pandemic: Reign of Cthulhu,7.40
395,Imperial Settlers: Empires of the North,7.55
396,Skull,7.20
397,Lord of the Rings: The Confrontation,7.48
398,Sprawlopolis,7.44
399,Risk Legacy,7.41
400,Schotten Totten,7.32
401,Commands & Colors: Napoleonics,8.01
402,Amerigo,7.46
403,Pandemic: The Cure,7.28
404,BattleLore,7.36
405,The King's Dilemma,7.91
406,Wavelength,7.43
407,Amun-Re,7.31
408,Marvel United,7.67
409,PitchCar,7.27
410,Sheriff of Nottingham,7.12
411,1775: Rebellion,7.67
412,Destinies,8.02
413,Blood Bowl (Third Edition),7.54
414,Descent: Journeys in the Dark,7.29
415,Mansions of Madness,7.29
416,Shadows of Brimstone: City of the Ancients,7.96
417,Mystic Vale,7.29
418,Forbidden Desert,7.12
419,Raptor,7.30
420,Exit: The Game – Dead Man on the Orient Express,7.66
421,"Labyrinth: The War on Terror, 2001 – ?",7.59
422,BattleCON: Devastation of Indines,7.89
423,Colt Express,7.11
424,Deus,7.30
425,Stuffed Fables,7.53
426,Pipeline,7.68
427,Madeira,7.59
428,Smartphone Inc.,7.69
429,Hanabi,7.07
430,Citadels,7.08
431,Fire in the Lake,8.07
432,Chess,7.16
433,Catan,7.13
434,Black Orchestra,7.52
435,Shadows over Camelot,7.11
436,Friday,7.14
437,London,7.35
438,Archipelago,7.33
439,Betrayal Legacy,7.75
440,Lords of Vegas,7.34
441,Legends of Andor,7.18
442,First Class: All Aboard the Orient Express!,7.45
443,Freedom: The Underground Railroad,7.58
444,Junk Art,7.40
445,Mandala,7.65
446,Imhotep,7.18
447,Citadels,7.30
448,Small World Underground,7.26
449,The Fox in the Forest,7.20
450,Sidereal Confluence,7.82
451,Euphoria: Build a Better Dystopia,7.24
452,The Grizzled,7.17
453,Oath: Chronicles of Empire and Exile,8.00
454,Time's Up! Title Recall!,7.70
455,Sentinels of the Multiverse,7.20
456,Roads & Boats,7.73
457,Argent: The Consortium,7.68
458,Anno 1800,7.88
459,Oceans,7.61
460,Libertalia,7.15
461,Thurn and Taxis,7.10
462,One Night Ultimate Werewolf,7.12
463,Potion Explosion,7.15
464,Egizia,7.41
465,Escape Plan,7.58
466,Ingenious,7.12
467,TZAAR,7.66
468,Railroad Ink: Deep Blue Edition,7.24
469,Airlines Europe,7.30
470,Skull King,7.44
471,Queendomino,7.23
472,No Thanks!,7.06
473,Elysium,7.22
474,Bohnanza,7.04
475,1846: The Race for the Midwest,7.95
476,Hadara,7.47
477,Blackout: Hong Kong,7.48
478,RoboRally,7.08
479,Vinhos,7.48
480,Port Royal,7.13
481,Sushi Go!,7.04
482,Tales of the Arabian Nights,7.19
483,Runebound (Third Edition),7.49
484,Vikings,7.24
485,Last Will,7.19
486,The Colonists,7.61
487,Chicago Express,7.24
488,Cloudspire,8.27
489,Taj Mahal,7.28
490,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,7.19
491,Pax Porfiriana,7.68
492,Photosynthesis,7.09
493,StarCraft: The Board Game,7.34
494,Discworld: Ankh-Morpork,7.24
495,Karuba,7.20
496,Baseball Highlights: 2045,7.54
497,Alhambra,7.03
498,Paperback,7.18
499,Colosseum,7.22
500,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,7.79
501,Hammer of the Scots,7.55
502,Nexus Ops,7.21
503,Love Letter Premium,7.46
504,Zombie Kidz Evolution,7.80
505,Space Empires 4X,7.71
506,DVONN,7.45
507,Camel Up,7.04
508,The King Is Dead: Second Edition,7.83
509,AquaSphere,7.27
510,Automobile,7.33
511,Blood Bowl (2016 Edition),8.04
512,Evolution,7.11
513,Carson City,7.24
514,Francis Drake,7.40
515,Conan,7.68
516,KeyForge: Call of the Archons,7.21
517,A Game of Thrones,7.20
518,Struggle of Empires,7.52
519,A Game of Thrones: The Card Game (Second Edition),7.55
520,Broom Service,7.18
521,Star Wars: X-Wing (Second Edition),8.21
522,Tobago,7.11
523,Dawn of the Zeds (Third Edition),8.19
524,Gears of War: The Board Game,7.46
525,Carcassonne: Hunters and Gatherers,7.13
526,Raiders of Scythia,7.92
527,Through the Desert,7.08
528,Star Wars: Destiny,7.50
529,Jamaica,7.06
530,Meadow,7.87
531,Zombicide,7.14
532,Valeria: Card Kingdoms,7.46
533,Las Vegas,7.13
534,Quantum,7.27
535,Middara: Unintentional Malum – Act 1,8.83
536,Mare Nostrum: Empires,7.56
537,Coup,7.00
538,Thebes,7.13
539,Snowdonia,7.36
540,Love Letter,7.61
541,Earth Reborn,7.65
542,The Republic of Rome,7.54
543,Hadrian's Wall,8.13
544,Silver & Gold,7.30
545,High Society,7.10
546,In the Hall of the Mountain King,7.76
547,Dice Throne: Season One,7.60
548,Blitzkrieg!: World War Two in 20 Minutes,7.68
549,Nova Luna,7.41
550,Triumph & Tragedy: European Balance of Power 1936-1945,8.16
551,One Night Ultimate Werewolf: Daybreak,7.35
552,Trains,7.15
553,Magic Maze,7.01
554,Unmatched: Robin Hood vs. Bigfoot,8.13
555,Cubitos,7.62
556,Taluva,7.16
557,Time's Up!,7.29
558,Summoner Wars,7.25
559,Formula D,7.02
560,Betrayal at House on the Hill,7.06
561,"Air, Land & Sea",7.53
562,Pax Renaissance,8.02
563,The Battle of Five Armies,7.87
564,Star Trek: Ascendancy,7.81
565,Shakespeare,7.43
566,Shadows of Brimstone: Swamps of Death,8.05
567,Dixit: Journey,7.41
568,Belfort,7.23
569,Cooper Island,7.67
570,Draftosaurus,7.16
571,Lord of the Rings: The Confrontation,7.20
572,Kemet: Blood and Sand,8.22
573,Cuba Libre,7.69
574,Medici,7.16
575,7 Wonders (Second Edition),8.09
576,Zombicide: Green Horde,7.75
577,Coloretto,6.97
578,Canvas,7.51
579,Mr. Jack,7.00
580,The Downfall of Pompeii,7.14
581,Thunderstone Advance: Towers of Ruin,7.36
582,Exit: The Game – The Pharaoh's Tomb,7.21
583,Smash Up: Awesome Level 9000,7.24
584,Luna,7.31
585,Kingdom Builder,6.96
586,Cuba,7.14
587,Myrmes,7.27
588,Torres,7.11
589,Defenders of the Realm,7.29
590,Escape: The Curse of the Temple,6.98
591,Fury of Dracula (Second Edition),7.12
592,Specter Ops,7.22
593,Leaving Earth,7.77
594,Cacao,7.09
595,Elder Sign,6.98
596,ZhanGuo,7.57
597,HeroQuest,7.15
598,Between Two Castles of Mad King Ludwig,7.30
599,Yamataï,7.22
600,Warhammer Quest: The Adventure Card Game,7.34
601,Tokaido,6.97
602,Unlock!: Heroic Adventures,7.73
603,Atlantis Rising (Second Edition),7.75
604,Steampunk Rally,7.20
605,Wallenstein,7.47
606,Fort,7.28
607,6 nimmt!,6.93
608,Arkwright,7.84
609,Pan Am,7.64
610,Crusaders: Thy Will Be Done,7.54
611,Feudum,7.67
612,Tash-Kalar: Arena of Legends,7.17
613,Advanced Squad Leader: Starter Kit #1,7.83
614,Love Letter: Batman,7.27
615,Vegas Showdown,7.17
616,Telestrations: 12 Player Party Pack,7.75
617,The Oracle of Delphi,7.29
618,D-Day at Omaha Beach,8.28
619,The Networks,7.20
620,BANG! The Dice Game,6.94
621,Fleet: The Dice Game,7.75
622,Wir sind das Volk!,7.83
623,Dragon Castle,7.17
624,Furnace,7.51
625,Prêt-à-Porter,7.38
626,Century: Eastern Wonders,7.19
627,Mexica,7.23
628,K2,7.04
629,Onirim (Second Edition),7.07
630,My Little Scythe,7.33
631,Ashes Reborn: Rise of the Phoenixborn,7.29
632,Whitehall Mystery,7.58
633,Arcadia Quest: Inferno,7.97
634,Yspahan,7.08
635,Treasure Island,7.30
636,City of the Big Shoulders,7.85
637,Eminent Domain,7.02
638,Middle-Earth Quest,7.39
639,Empires: Age of Discovery,7.87
640,Shipyard,7.35
641,Carcassonne: The Castle,7.10
642,Up Front,7.87
643,Ascension: Deckbuilding Game,7.03
644,Black Rose Wars,8.10
645,Churchill,7.67
646,Cribbage,7.07
647,The Duke,7.36
648,Century: A New World,7.43
649,Between Two Cities,7.01
650,Space Hulk,7.47
651,Civilization: A New Dawn,7.29
652,Cry Havoc,7.18
653,Disney Villainous,7.05
654,Fantastic Factories,7.50
655,Shards of Infinity,7.53
656,Space Hulk: Death Angel – The Card Game,7.00
657,Zombicide Season 2: Prison Outbreak,7.38
658,Coal Baron,7.28
659,Diplomacy,7.04
660,Reef,7.07
661,A Fake Artist Goes to New York,7.16
662,Caverna: Cave vs Cave,7.16
663,Oh My Goods!,7.00
664,Ex Libris,7.18
665,World Without End,7.25
666,New Frontiers,7.52
667,Warhammer: Invasion,7.23
668,Wits & Wagers,6.93
669,The Estates,7.47
670,Villagers,7.26
671,Saint Petersburg (Second Edition),7.49
672,1989: Dawn of Freedom,7.80
673,Kanagawa,7.08
674,Star Trek: Fleet Captains,7.50
675,AuZtralia,7.38
676,Super Motherload,7.37
677,Exit: The Game – The Secret Lab,7.11
678,Disney Villainous: Wicked to the Core,7.64
679,King of New York,6.94
680,Deep Sea Adventure,6.96
681,Summoner Wars: Alliances Master Set,8.09
682,Imperial Struggle,8.34
683,Blue Moon City,7.04
684,Black Angel,7.36
685,Among the Stars,7.06
686,Washington's War,7.63
687,Vast: The Crystal Caverns,7.15
688,Panamax,7.32
689,Dungeons & Dragons: The Legend of Drizzt Board Game,7.23
690,Finca,7.06
691,Blokus,6.87
692,Vasco da Gama,7.23
693,878 Vikings: Invasions of England,7.54
694,Tribune: Primus Inter Pares,7.22
695,Squad Leader,7.53
696,Rhino Hero: Super Battle,7.28
697,FUSE,7.03
698,Trismegistus: The Ultimate Formula,7.65
699,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,7.50
700,Lords of Xidit,7.12
701,CO₂: Second Chance,7.61
702,Jambo,7.00
703,The Mind,6.86
704,Dogs of War,7.52
705,The Pursuit of Happiness,7.20
706,Combat Commander: Pacific,8.11
707,13 Days: The Cuban Missile Crisis,7.27
708,Yedo,7.37
